name,hg_19,cb,both
FUT2,False,True,False
PTPRD,False,True,False
TLE3,False,True,False
USF2,False,True,False
STK4,False,True,False
TMEM106B,False,True,False
MIR4778,False,True,False
REPIN1,False,True,False
ALKBH1,False,True,False
LSMEM1,False,True,False
MIR539,False,True,False
MIR450A2,False,True,False
MIR4633,False,True,False
CDC42EP4,False,True,False
TRIM33,False,True,False
FLYWCH1,False,True,False
ZMAT3,False,True,False
MIR548AG2,False,True,False
CA3,False,True,False
TTTY1,False,True,False
ZFYVE27,False,True,False
VPS25,False,True,False
YRDC,False,True,False
CAPRIN1,False,True,False
RN7SL776P,False,True,False
RNU7-2P,False,True,False
GOLGB1,False,True,False
SLTM,False,True,False
BEX4,False,True,False
DOCK4,False,True,False
OR2D3,False,True,False
NUFIP1,False,True,False
FRG2B,False,True,False
CCKBR,False,True,False
FAM47C,False,True,False
PQBP1,False,True,False
RALGAPB,False,True,False
SLC40A1,False,True,False
RBP1,False,True,False
HIPK2,False,True,False
AASDHPPT,False,True,False
OR2A12,False,True,False
CHCT1,False,True,False
MT1F,False,True,False
RNA5SP391,False,True,False
FBXW10,False,True,False
FOXS1,False,True,False
FGD3,False,True,False
MIR548AX,False,True,False
PRAMEF4,False,True,False
TMIGD1,False,True,False
FUOM,False,True,False
EPN3,False,True,False
AVPR1B,False,True,False
ASS1,False,True,False
TAPBPL,False,True,False
POLR2J2,False,True,False
RAB33B,False,True,False
DEFB104B,False,True,False
SYNCRIP,False,True,False
SRMS,False,True,False
FAM149B1,False,True,False
SAMD9,False,True,False
GPR15,False,True,False
TNFRSF1B,False,True,False
ACADS,False,True,False
SDC4,False,True,False
ZDHHC11B,False,True,False
SC5D,False,True,False
OR6M1,False,True,False
SPEN,False,True,False
LINC00652,False,True,False
RN7SL361P,False,True,False
MIR3621,False,True,False
PLEKHO2,False,True,False
SMARCA5-AS1,False,True,False
TRIM25,False,True,False
HS3ST4,False,True,False
SDCBP2,False,True,False
UEVLD,False,True,False
EIF1B-AS1,False,True,False
SRSF5,False,True,False
ARHGEF38-IT1,False,True,False
IGHV2OR16-5,False,True,False
CDHR4,False,True,False
KRT6A,False,True,False
MIR655,False,True,False
FCAR,False,True,False
RNA5SP441,False,True,False
SLC27A1,False,True,False
CCNG2,False,True,False
TBX18,False,True,False
YWHAZ,False,True,False
MYT1L,False,True,False
KLK13,False,True,False
RXRB,False,True,False
RN7SKP3,False,True,False
KLHL29,False,True,False
CST2,False,True,False
TP53TG3C,False,True,False
SLC37A3,False,True,False
MIR5688,False,True,False
AGPS,False,True,False
MYLK-AS1,False,True,False
MIR95,False,True,False
CSRP3,False,True,False
BNIP3,False,True,False
MT2A,False,True,False
GTF2I,False,True,False
HEPHL1,False,True,False
PPM1F,False,True,False
MIR3689B,False,True,False
PAN3,False,True,False
FOXP1-AS1,False,True,False
RNU6-4P,False,True,False
S100G,False,True,False
USP44,False,True,False
RNU7-167P,False,True,False
TCF25,False,True,False
MIR1302-2,False,True,False
RNU7-121P,False,True,False
RNA5SP272,False,True,False
NBPF6,False,True,False
ABCC11,False,True,False
SPANXA1,False,True,False
IGF2-AS,False,True,False
RN7SKP56,False,True,False
FUNDC2,False,True,False
TMEM14B,False,True,False
E2F3-IT1,False,True,False
SERF2,False,True,False
PHPT1,False,True,False
MIR135B,False,True,False
VIPAS39,False,True,False
DUSP11,False,True,False
IGFL3,False,True,False
STAG3,False,True,False
LINC00462,False,True,False
NMU,False,True,False
HAR1A,False,True,False
ABCB9,False,True,False
CREB1,False,True,False
ATP5MK,False,True,False
UNKL,False,True,False
RAB11A,False,True,False
RHEX,False,True,False
OTOR,False,True,False
APP,False,True,False
MIR4713,False,True,False
IGLL1,False,True,False
SGK2,False,True,False
MIR1913,False,True,False
RN7SL655P,False,True,False
GDF6,False,True,False
TENT5C,False,True,False
COL5A1-AS1,False,True,False
C2orf88,False,True,False
HEPH,False,True,False
CYP2S1,False,True,False
SNORA7B,False,True,False
ATP2A1,False,True,False
MRPS15,False,True,False
KRTAP4-12,False,True,False
OR10K1,False,True,False
ORAI1,False,True,False
VPS26A,False,True,False
ZNF248,False,True,False
MIS18A-AS1,False,True,False
ACTR3C,False,True,False
MTMR6,False,True,False
C8orf74,False,True,False
ATPAF2,False,True,False
HMGN4,False,True,False
HGS,False,True,False
ENDOG,False,True,False
DNAJC14,False,True,False
GTF2A1,False,True,False
CD55,False,True,False
ZNRF1,False,True,False
SNHG12,False,True,False
SLC4A2,False,True,False
EEF1B2,False,True,False
WWTR1-IT1,False,True,False
TOMM22,False,True,False
MIR296,False,True,False
H2BW2,False,True,False
SPC25,False,True,False
GATA3-AS1,False,True,False
MIR1972-2,False,True,False
PTK2B,False,True,False
MIR17HG,False,True,False
UBE4A,False,True,False
ZFYVE16,False,True,False
GBE1,False,True,False
MSRB1,False,True,False
