seq_name,source,feature,start,end,score,strand,frame,attribute,attribute_geneID,attribute_transcriptID,attribute_exon_info,attribute_exon_info
chrMT,ncbiRefSeq.2021-05-17,transcript,15956,16023,.,-,.,"gene_id ""TRNP""; transcript_id ""rna-TRNP"";  gene_name ""TRNP"";","gene_id ""TRNP"""," transcript_id ""rna-TRNP""","  gene_name ""TRNP""",
chrMT,ncbiRefSeq.2021-05-17,exon,15956,16023,.,-,.,"gene_id ""TRNP""; transcript_id ""rna-TRNP""; exon_number ""1""; exon_id ""rna-TRNP.1""; gene_name ""TRNP"";","gene_id ""TRNP"""," transcript_id ""rna-TRNP"""," exon_number ""1"""," exon_id ""rna-TRNP.1""; gene_name ""TRNP"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,15888,15953,.,+,.,"gene_id ""TRNT""; transcript_id ""rna-TRNT"";  gene_name ""TRNT"";","gene_id ""TRNT"""," transcript_id ""rna-TRNT""","  gene_name ""TRNT""",
chrMT,ncbiRefSeq.2021-05-17,exon,15888,15953,.,+,.,"gene_id ""TRNT""; transcript_id ""rna-TRNT""; exon_number ""1""; exon_id ""rna-TRNT.1""; gene_name ""TRNT"";","gene_id ""TRNT"""," transcript_id ""rna-TRNT"""," exon_number ""1"""," exon_id ""rna-TRNT.1""; gene_name ""TRNT"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,14747,15887,.,+,.,"gene_id ""CYTB""; transcript_id ""YP_003024038.1"";  gene_name ""CYTB"";","gene_id ""CYTB"""," transcript_id ""YP_003024038.1""","  gene_name ""CYTB""",
chrMT,ncbiRefSeq.2021-05-17,exon,14747,15887,.,+,.,"gene_id ""CYTB""; transcript_id ""YP_003024038.1""; exon_number ""1""; exon_id ""YP_003024038.1.1""; gene_name ""CYTB"";","gene_id ""CYTB"""," transcript_id ""YP_003024038.1"""," exon_number ""1"""," exon_id ""YP_003024038.1.1""; gene_name ""CYTB"";"
chrMT,ncbiRefSeq.2021-05-17,CDS,14747,15887,.,+,0,"gene_id ""CYTB""; transcript_id ""YP_003024038.1""; exon_number ""1""; exon_id ""YP_003024038.1.1""; gene_name ""CYTB"";","gene_id ""CYTB"""," transcript_id ""YP_003024038.1"""," exon_number ""1"""," exon_id ""YP_003024038.1.1""; gene_name ""CYTB"";"
chrMT,ncbiRefSeq.2021-05-17,start_codon,14747,14749,.,+,0,"gene_id ""CYTB""; transcript_id ""YP_003024038.1""; exon_number ""1""; exon_id ""YP_003024038.1.1""; gene_name ""CYTB"";","gene_id ""CYTB"""," transcript_id ""YP_003024038.1"""," exon_number ""1"""," exon_id ""YP_003024038.1.1""; gene_name ""CYTB"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,14674,14742,.,-,.,"gene_id ""TRNE""; transcript_id ""rna-TRNE"";  gene_name ""TRNE"";","gene_id ""TRNE"""," transcript_id ""rna-TRNE""","  gene_name ""TRNE""",
chrMT,ncbiRefSeq.2021-05-17,exon,14674,14742,.,-,.,"gene_id ""TRNE""; transcript_id ""rna-TRNE""; exon_number ""1""; exon_id ""rna-TRNE.1""; gene_name ""TRNE"";","gene_id ""TRNE"""," transcript_id ""rna-TRNE"""," exon_number ""1"""," exon_id ""rna-TRNE.1""; gene_name ""TRNE"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,14149,14673,.,-,.,"gene_id ""ND6""; transcript_id ""YP_003024037.1"";  gene_name ""ND6"";","gene_id ""ND6"""," transcript_id ""YP_003024037.1""","  gene_name ""ND6""",
chrMT,ncbiRefSeq.2021-05-17,exon,14149,14673,.,-,.,"gene_id ""ND6""; transcript_id ""YP_003024037.1""; exon_number ""1""; exon_id ""YP_003024037.1.1""; gene_name ""ND6"";","gene_id ""ND6"""," transcript_id ""YP_003024037.1"""," exon_number ""1"""," exon_id ""YP_003024037.1.1""; gene_name ""ND6"";"
chrMT,ncbiRefSeq.2021-05-17,CDS,14152,14673,.,-,0,"gene_id ""ND6""; transcript_id ""YP_003024037.1""; exon_number ""1""; exon_id ""YP_003024037.1.1""; gene_name ""ND6"";","gene_id ""ND6"""," transcript_id ""YP_003024037.1"""," exon_number ""1"""," exon_id ""YP_003024037.1.1""; gene_name ""ND6"";"
chrMT,ncbiRefSeq.2021-05-17,start_codon,14671,14673,.,-,0,"gene_id ""ND6""; transcript_id ""YP_003024037.1""; exon_number ""1""; exon_id ""YP_003024037.1.1""; gene_name ""ND6"";","gene_id ""ND6"""," transcript_id ""YP_003024037.1"""," exon_number ""1"""," exon_id ""YP_003024037.1.1""; gene_name ""ND6"";"
chrMT,ncbiRefSeq.2021-05-17,stop_codon,14149,14151,.,-,0,"gene_id ""ND6""; transcript_id ""YP_003024037.1""; exon_number ""1""; exon_id ""YP_003024037.1.1""; gene_name ""ND6"";","gene_id ""ND6"""," transcript_id ""YP_003024037.1"""," exon_number ""1"""," exon_id ""YP_003024037.1.1""; gene_name ""ND6"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,12337,14148,.,+,.,"gene_id ""ND5""; transcript_id ""YP_003024036.1"";  gene_name ""ND5"";","gene_id ""ND5"""," transcript_id ""YP_003024036.1""","  gene_name ""ND5""",
chrMT,ncbiRefSeq.2021-05-17,exon,12337,14148,.,+,.,"gene_id ""ND5""; transcript_id ""YP_003024036.1""; exon_number ""1""; exon_id ""YP_003024036.1.1""; gene_name ""ND5"";","gene_id ""ND5"""," transcript_id ""YP_003024036.1"""," exon_number ""1"""," exon_id ""YP_003024036.1.1""; gene_name ""ND5"";"
chrMT,ncbiRefSeq.2021-05-17,CDS,12337,14145,.,+,0,"gene_id ""ND5""; transcript_id ""YP_003024036.1""; exon_number ""1""; exon_id ""YP_003024036.1.1""; gene_name ""ND5"";","gene_id ""ND5"""," transcript_id ""YP_003024036.1"""," exon_number ""1"""," exon_id ""YP_003024036.1.1""; gene_name ""ND5"";"
chrMT,ncbiRefSeq.2021-05-17,start_codon,12337,12339,.,+,0,"gene_id ""ND5""; transcript_id ""YP_003024036.1""; exon_number ""1""; exon_id ""YP_003024036.1.1""; gene_name ""ND5"";","gene_id ""ND5"""," transcript_id ""YP_003024036.1"""," exon_number ""1"""," exon_id ""YP_003024036.1.1""; gene_name ""ND5"";"
chrMT,ncbiRefSeq.2021-05-17,stop_codon,14146,14148,.,+,0,"gene_id ""ND5""; transcript_id ""YP_003024036.1""; exon_number ""1""; exon_id ""YP_003024036.1.1""; gene_name ""ND5"";","gene_id ""ND5"""," transcript_id ""YP_003024036.1"""," exon_number ""1"""," exon_id ""YP_003024036.1.1""; gene_name ""ND5"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,12266,12336,.,+,.,"gene_id ""TRNL2""; transcript_id ""rna-TRNL2"";  gene_name ""TRNL2"";","gene_id ""TRNL2"""," transcript_id ""rna-TRNL2""","  gene_name ""TRNL2""",
chrMT,ncbiRefSeq.2021-05-17,exon,12266,12336,.,+,.,"gene_id ""TRNL2""; transcript_id ""rna-TRNL2""; exon_number ""1""; exon_id ""rna-TRNL2.1""; gene_name ""TRNL2"";","gene_id ""TRNL2"""," transcript_id ""rna-TRNL2"""," exon_number ""1"""," exon_id ""rna-TRNL2.1""; gene_name ""TRNL2"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,12207,12265,.,+,.,"gene_id ""TRNS2""; transcript_id ""rna-TRNS2"";  gene_name ""TRNS2"";","gene_id ""TRNS2"""," transcript_id ""rna-TRNS2""","  gene_name ""TRNS2""",
chrMT,ncbiRefSeq.2021-05-17,exon,12207,12265,.,+,.,"gene_id ""TRNS2""; transcript_id ""rna-TRNS2""; exon_number ""1""; exon_id ""rna-TRNS2.1""; gene_name ""TRNS2"";","gene_id ""TRNS2"""," transcript_id ""rna-TRNS2"""," exon_number ""1"""," exon_id ""rna-TRNS2.1""; gene_name ""TRNS2"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,12138,12206,.,+,.,"gene_id ""TRNH""; transcript_id ""rna-TRNH"";  gene_name ""TRNH"";","gene_id ""TRNH"""," transcript_id ""rna-TRNH""","  gene_name ""TRNH""",
